"","cluster","hhnum_percluster","hhid","year","int_year","int_month","passage","season","admin1","admin2","hhsize","pcexp","pcexp_food","pcexp_nonfood","latitude","longitude","zae"
"150",10,12,10120,2011,2011,8,1,1,1,NA,5,142389.28125,160192.78125,633.316589355469,15.5215096057,7.03498515587,4
"151",10,12,10120,2014,2015,2,2,3,1,NA,5,129942.53125,132191.8125,14575.9013671875,15.5215096057,7.03498515587,4
"152",10,12,10120,2014,2014,10,1,2,1,NA,5,86341.0859375,93551.8125,3968.86499023438,15.5215096057,7.03498515587,4
"153",10,13,10130,2011,2011,11,2,2,1,NA,7,61723.28515625,67109.4921875,2605.83056640625,15.5215096057,7.03498515587,4
"154",10,13,10130,2011,2011,8,1,1,1,NA,7,100287.75,110847.6875,2425.50439453125,15.5215096057,7.03498515587,4
"155",10,13,10130,2014,2014,10,1,2,1,NA,7,102583.3359375,110156.2578125,5709.7509765625,15.5215096057,7.03498515587,4
"156",10,13,10130,2014,2015,2,2,3,1,NA,7,83965.1640625,82564.1796875,12272.9423828125,15.5215096057,7.03498515587,4
"157",10,14,10140,2011,2011,11,2,2,1,NA,6,87833.3203125,93626.125,5580.01171875,15.5215096057,7.03498515587,4
"158",10,14,10140,2011,2011,8,1,1,1,NA,6,58552.97265625,62722.5390625,3411.97607421875,15.5215096057,7.03498515587,4
"159",10,14,10140,2014,2014,10,1,2,1,NA,4,85551.1484375,93906.1796875,2722.2841796875,15.5215096057,7.03498515587,4
"160",10,14,10140,2014,2015,2,2,3,1,NA,4,143996.1875,148364.9375,14276.1435546875,15.5215096057,7.03498515587,4
"161",10,15,10150,2011,2011,8,1,1,1,NA,3,132191.671875,147236.015625,2072.06127929688,15.5215096057,7.03498515587,4
"162",10,15,10150,2011,2011,11,2,2,1,NA,3,105253.7734375,112801.9453125,6080.271484375,15.5215096057,7.03498515587,4
"163",10,15,10150,2014,2015,2,2,3,1,NA,6,111012.8359375,124303.203125,1083.77404785156,15.5215096057,7.03498515587,4
"164",10,15,10150,2014,2014,10,1,2,1,NA,6,166865.828125,180961.34375,7510.55224609375,15.5215096057,7.03498515587,4
"165",10,16,10160,2011,2011,8,1,1,1,NA,5,100834.2890625,110132.546875,3757.947265625,15.5215096057,7.03498515587,4
"166",10,16,10160,2011,2011,11,2,2,1,NA,5,97152.9140625,106084.28125,3648.16284179688,15.5215096057,7.03498515587,4
"167",10,16,10160,2014,2015,2,2,3,1,NA,6,147783.28125,153663.78125,13254.728515625,15.5215096057,7.03498515587,4
"168",10,16,10160,2014,2014,10,1,2,1,NA,6,104095.0078125,114577.3515625,2996.06567382812,15.5215096057,7.03498515587,4
"169",10,17,10170,2011,2011,8,1,1,1,NA,4,72397.328125,78035.09375,3736.36596679688,15.5215096057,7.03498515587,4
